MANDT,MATNR,VKORG,VTWEG,LVORM,VERSG,BONUS,PROVG,SKTOF,VMSTA,VMSTD,AUMNG,LFMNG,EFMNG,SCMNG,SCHME,VRKME,MTPOS,DWERK,PRODH,PMATN,KONDM,KTGRM,MVGR1,MVGR2,MVGR3,MVGR4,MVGR5,SSTUF,PFLKS,LSTFL,LSTVZ,LSTAK,LDVFL,LDBFL,LDVZL,LDBZL,VDVFL,VDBFL,VDVZL,VDBZL,PRAT1,PRAT2,PRAT3,PRAT4,PRAT5,PRAT6,PRAT7,PRAT8,PRAT9,PRATA,RDPRF,MEGRU,LFMAX,RJART,PBIND,VAVME,MATKC,PVMSO,/BEV1/EMLGRP,/BEV1/EMDRCKSPL,/BEV1/RPBEZME,/BEV1/RPSNS,/BEV1/RPSFA,/BEV1/RPSKI,/BEV1/RPSCO,/BEV1/RPSSO,/SIE/SF_LO_LEAD_MDM,PLGTP,ZZVMSTA,YYLASTUPD,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-002920,SORG-11,O1,,1,,,X,99,20250217,0.000,0.000,0.000,0.000,,,NORM,PLNT-24,682V00005-00010000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250226,145416,2025-02-26 14:58:10.358,2025-02-26 15:13:10.683
500,MAT-002529,SORG-01,O1,,1,,,X,99,20181101,0.000,0.000,0.000,0.000,,,NORM,PLNT-40,602E00004-00010003,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251020,135608,2025-10-20 14:01:10.858,2025-10-20 14:09:00.860
500,MAT-001870,SORG-05,O1,,1,,,X,99,20250807,0.000,0.000,0.000,0.000,,,ZKIT,PLNT-49,602D00042-00150000,,,01,G10,G12,G03,G38,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250807,221003,2025-08-07 22:10:21.309,2025-08-07 22:40:04.163
500,MAT-001855,SORG-01,O1,,1,,,,99,20250724,1.000,0.000,0.000,0.000,,,ZPS3,PLNT-36,602D00040-00091193,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250724,160905,2025-07-24 16:09:13.955,2025-07-24 16:11:40.859
500,MAT-002179,SORG-01,O1,,1,,,X,99,20260211,0.000,0.000,0.000,0.000,,,ZPS3,PLNT-36,602D00040-00090032,,AA,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20260213,192202,2026-02-13 19:26:00.118,2026-02-13 19:38:33.758
500,MAT-000371,SORG-13,O1,,1,,,,99,20171107,1.000,0.000,0.000,0.000,,,NORM,PLNT-09,802M20902-90200000,,,42,DX1,,,013,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250508,101835,2025-05-08 10:20:46.269,2025-05-08 10:39:48.020
500,MAT-002913,SORG-01,O1,,1,,,X,99,20250130,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00006-00010000,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250130,145510,2025-01-30 14:56:43.852,2025-01-30 15:10:39.907
500,MAT-002927,SORG-12,O2,,1,,,X,99,20250312,0.000,0.000,0.000,0.000,,,NORM,PLNT-08,802M07901-09700316,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250312,185224,2025-03-12 18:55:17.163,2025-03-12 19:11:43.031
500,MAT-000921,SORG-03,O1,,1,05,,,99,20260302,1.000,0.000,0.000,0.000,,,NORM,PLNT-46,602D00050-00000003,,,42,Z02,Z32,ZW3,ZWL,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,86,20260302213900,20260302,215549,2026-03-02 21:55:58.865,2026-03-02 22:08:05.203
500,MAT-001694,SORG-01,O1,,1,01,,X,99,20241226,0.000,0.000,0.000,0.000,,,NORM,PLNT-36,602D00040-00090032,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20241226,144147,2024-12-26 14:42:05.839,2024-12-26 15:06:49.823
500,MAT-001938,SORG-02,O1,,1,05,,,99,20251022,1.000,0.000,0.000,0.000,,,NORM,PLNT-47,602E00023-00010000,,,42,Z03,A63,ZI6,ZFD,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,20251022165400,20251022,172228,2025-10-22 17:23:48.281,2025-10-22 17:38:28.313
500,MAT-001626,SORG-01,O1,,1,,,X,99,20240930,0.000,0.000,0.000,0.000,,,NORM,PLNT-38,602D00012-00090009,,,,,,ENA,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20240930,173845,2024-09-30 17:39:29.747,2024-09-30 17:40:44.081
500,MAT-003371,SORG-07,O1,,1,,,X,99,20250307,0.000,0.000,0.000,0.000,,,NORM,PLNT-50,602D00010-00110000,,,42,C39,C47,C13,CG3,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,20241222032600,20250307,180104,2025-03-07 18:04:32.918,2025-03-07 18:10:41.654
500,MAT-001097,SORG-01,O1,,1,,,,99,20240726,1.000,0.000,0.000,0.000,,UN,NORM,PLNT-40,602D00040-00090041,,,42,,B17,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250219,092022,2025-02-19 09:23:33.912,2025-02-19 09:43:41.392
