MANDT,MATNR,SPRAS,MAKTX,MAKTG,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-001280,P,Product MAT-001280,Product MAT-001280,20251112,134226,2025-11-12 13:43:33.185,2025-11-12 14:11:04.024
500,MAT-001282,P,Product MAT-001282,Product MAT-001282,20251112,134327,2025-11-12 13:43:33.185,2025-11-12 14:11:04.024
500,MAT-001283,P,Product MAT-001283,Product MAT-001283,20251112,134327,2025-11-12 13:43:33.185,2025-11-12 14:11:04.024
500,MAT-001284,P,Product MAT-001284,Product MAT-001284,20251112,134358,2025-11-12 13:47:05.863,2025-11-12 14:11:04.024
500,MAT-001285,P,Product MAT-001285,Product MAT-001285,20251112,134700,2025-11-12 13:47:05.863,2025-11-12 14:11:04.024
500,MAT-001286,P,Product MAT-001286,Product MAT-001286,20251112,134700,2025-11-12 13:47:05.863,2025-11-12 14:11:04.024
500,MAT-001287,P,Product MAT-001287,Product MAT-001287,20251112,134700,2025-11-12 13:47:05.863,2025-11-12 14:11:04.024
500,MAT-001288,P,Product MAT-001288,Product MAT-001288,20251112,134723,2025-11-12 13:51:23.947,2025-11-12 14:11:04.024
500,MAT-001289,P,Product MAT-001289,Product MAT-001289,20251112,134723,2025-11-12 13:51:23.947,2025-11-12 14:11:04.024
500,MAT-001294,P,Product MAT-001294,Product MAT-001294,20251112,134947,2025-11-12 13:51:23.947,2025-11-12 14:11:04.024
500,MAT-001298,P,Product MAT-001298,Product MAT-001298,20251112,135227,2025-11-12 13:55:03.755,2025-11-12 14:11:04.024
500,MAT-001300,P,Product MAT-001300,Product MAT-001300,20251112,135308,2025-11-12 13:55:03.755,2025-11-12 14:11:04.024
500,MAT-001301,P,Product MAT-001301,Product MAT-001301,20251112,135342,2025-11-12 13:55:03.755,2025-11-12 14:11:04.024
500,MAT-001302,P,Product MAT-001302,Product MAT-001302,20251112,135342,2025-11-12 13:55:03.755,2025-11-12 14:11:04.024
500,MAT-001303,P,Product MAT-001303,Product MAT-001303,20251112,135416,2025-11-12 13:55:03.755,2025-11-12 14:11:04.024
500,MAT-001304,P,Product MAT-001304,Product MAT-001304,20251112,135416,2025-11-12 13:55:03.755,2025-11-12 14:11:04.024
500,MAT-001305,P,Product MAT-001305,Product MAT-001305,20251112,135524,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001306,P,Product MAT-001306,Product MAT-001306,20251112,135524,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001307,P,Product MAT-001307,Product MAT-001307,20251112,135524,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001308,P,Product MAT-001308,Product MAT-001308,20251112,135632,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001309,P,Product MAT-001309,Product MAT-001309,20251112,135632,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001310,P,Product MAT-001310,Product MAT-001310,20251112,135632,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001311,P,Product MAT-001311,Product MAT-001311,20251112,135632,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001312,P,Product MAT-001312,Product MAT-001312,20251112,135744,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001313,P,Product MAT-001313,Product MAT-001313,20251112,135744,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001314,P,Product MAT-001314,Product MAT-001314,20251112,135839,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001315,P,Product MAT-001315,Product MAT-001315,20251112,135839,2025-11-12 13:59:29.752,2025-11-12 14:11:04.024
500,MAT-001316,P,Product MAT-001316,Product MAT-001316,20251112,135927,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001317,P,Product MAT-001317,Product MAT-001317,20251112,135927,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001318,P,Product MAT-001318,Product MAT-001318,20251112,135927,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001319,P,Product MAT-001319,Product MAT-001319,20251112,140001,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001320,P,Product MAT-001320,Product MAT-001320,20251112,140001,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001321,P,Product MAT-001321,Product MAT-001321,20251112,140031,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001322,P,Product MAT-001322,Product MAT-001322,20251112,140031,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001323,P,Product MAT-001323,Product MAT-001323,20251112,140150,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001324,P,Product MAT-001324,Product MAT-001324,20251112,140150,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001326,P,Product MAT-001326,Product MAT-001326,20251112,140150,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001327,P,Product MAT-001327,Product MAT-001327,20251112,140345,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001328,P,Product MAT-001328,Product MAT-001328,20251112,140345,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001329,P,Product MAT-001329,Product MAT-001329,20251112,140345,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001331,P,Product MAT-001331,Product MAT-001331,20251112,140420,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001332,P,Product MAT-001332,Product MAT-001332,20251112,140420,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-001333,P,Product MAT-001333,Product MAT-001333,20251112,140525,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001334,P,Product MAT-001334,Product MAT-001334,20251112,140656,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001335,P,Product MAT-001335,Product MAT-001335,20251112,140742,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001336,P,Product MAT-001336,Product MAT-001336,20251112,140742,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001337,P,Product MAT-001337,Product MAT-001337,20251112,140908,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001338,P,Product MAT-001338,Product MAT-001338,20251112,140908,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001339,P,Product MAT-001339,Product MAT-001339,20251112,140908,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001340,P,Product MAT-001340,Product MAT-001340,20251112,141008,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001341,P,Product MAT-001341,Product MAT-001341,20251112,141008,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-001325,P,Product MAT-001325,Product MAT-001325,20251112,140150,2025-11-12 14:05:02.811,2025-11-12 14:11:04.024
500,MAT-004009,P,Product MAT-004009,Product MAT-004009,20251112,193441,2025-11-12 19:37:46.872,2025-11-12 19:38:39.954
500,MAT-001964,P,Product MAT-001964,Product MAT-001964,20251112,192441,2025-11-12 19:28:18.985,2025-11-12 19:38:39.954
500,MAT-004012,E,Product MAT-004012,Product MAT-004012,20251112,193616,2025-11-12 19:37:46.872,2025-11-12 19:38:39.954
500,MAT-004009,E,Product MAT-004009,Product MAT-004009,20251112,193441,2025-11-12 19:37:46.872,2025-11-12 19:38:39.954
500,MAT-001965,P,Product MAT-001965,Product MAT-001965,20251112,192441,2025-11-12 19:28:18.985,2025-11-12 19:38:39.954
500,MAT-002641,Z,Product MAT-002641,Product MAT-002641,20251112,191430,2025-11-12 19:14:35.729,2025-11-12 19:38:39.954
