MANDT,MATNR,BWKEY,BWTAR,LVORM,LBKUM,SALK3,VPRSV,VERPR,STPRS,PEINH,BKLAS,SALKV,VMKUM,VMSAL,VMVPR,VMVER,VMSTP,VMPEI,VMBKL,VMSAV,VJKUM,VJSAL,VJVPR,VJVER,VJSTP,VJPEI,VJBKL,VJSAV,LFGJA,LFMON,BWTTY,STPRV,LAEPR,ZKPRS,ZKDAT,TIMESTAMP,BWPRS,BWPRH,VJBWS,VJBWH,VVJSL,VVJLB,VVMLB,VVSAL,ZPLPR,ZPLP1,ZPLP2,ZPLP3,ZPLD1,ZPLD2,ZPLD3,PPERZ,PPERL,PPERV,KALKZ,KALKL,KALKV,KALSC,XLIFO,MYPOL,BWPH1,BWPS1,ABWKZ,PSTAT,KALN1,KALNR,BWVA1,BWVA2,BWVA3,VERS1,VERS2,VERS3,HRKFT,KOSGR,PPRDZ,PPRDL,PPRDV,PDATZ,PDATL,PDATV,EKALR,VPLPR,MLMAA,MLAST,LPLPR,VKSAL,HKMAT,SPERW,KZIWL,WLINL,ABCIW,BWSPA,LPLPX,VPLPX,FPLPX,LBWST,VBWST,FBWST,EKLAS,QKLAS,MTUSE,MTORG,OWNPR,XBEWM,BWPEI,MBRUE,OKLAS,OIPPINV,/SIE/SSG_ZRUAD,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-004627,PLNT-42,,,0.000,0.00,S,100.00,1.00,1,9100,0.00,0.000,0.00,S,1.00,1.00,1,9100,0.00,0.000,0.00,S,1.00,1.00,1,9100,0.00,2025,07,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,B,000174865560,000174865561,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,2,0,,,0,,,,0.00,20250429,133126,2025-04-29 13:32:46.227,2025-04-29 13:37:51.718
500,MAT-003264,PLNT-41,,,0.000,0.00,S,46080.00,46080.00,1,9000,0.00,0.000,0.00,S,46080.00,46080.00,1,9000,0.00,0.000,0.00,S,46080.00,46080.00,1,9000,0.00,2025,11,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000175695097,000175695098,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,3,1,,,0,,,,0.00,20250813,194353,2025-08-13 19:45:56.566,2025-08-13 20:07:34.951
500,MAT-001429,PLNT-41,,,0.000,0.00,S,0.00,0.00,1,9100,0.00,0.000,0.00,S,0.00,0.00,1,9100,0.00,0.000,0.00,S,0.00,0.00,1,9100,0.00,2025,10,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000175489073,000175489074,,,,00,00,00,020,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20250723,161629,2025-07-23 16:18:24.897,2025-07-23 16:36:45.914
500,MAT-000088,PLNT-12,DEFECT 0,,0.000,0.00,S,0.00,0.00,1,8000,0.00,0.000,0.00,S,0.00,0.00,1,8000,0.00,0.000,0.00,S,0.00,0.00,1,8000,0.00,2025,11,Q,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000175747430,000175747431,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,X,2,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20250822,220239,2025-08-22 22:05:27.384,2025-08-22 22:07:24.885
500,MAT-000458,PLNT-12,REPAIR 100,,0.000,0.00,V,0.00,0.00,1,8000,0.00,0.000,0.00,V,0.00,0.00,1,8000,0.00,0.000,0.00,V,0.00,0.00,1,8000,0.00,2026,02,Q,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000176273182,000176273183,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,X,2,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20251121,071047,2025-11-21 07:11:24.143,2025-11-21 07:38:34.480
500,MAT-004274,PLNT-24,,,0.000,0.00,S,654.75,654.75,1,9100,0.00,0.000,0.00,S,654.75,654.75,1,9100,0.00,0.000,0.00,S,654.75,654.75,1,9100,0.00,2025,07,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000174789505,000174789506,,,,00,00,00,010,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20250411,154213,2025-04-11 15:47:26.205,2025-04-11 16:07:19.856
500,MAT-000555,PLNT-22,,,0.000,0.00,V,267075.55,267075.55,1,8000,0.00,0.000,0.00,V,267075.55,267075.55,1,8000,0.00,0.000,0.00,V,267075.55,267075.55,1,8000,0.00,2026,05,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,BG,000176636531,000176636532,,,,00,00,00,020,,000,000,000,0000,0000,0000,,0.00,X,2,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,6,,,0,,,,0.00,20260213,165711,2026-02-13 17:01:44.527,2026-02-13 17:08:11.824
500,MAT-004467,PLNT-37,,,0.000,0.00,V,1.00,1.00,1,9101,0.00,0.000,0.00,S,1.00,1.00,1,9101,0.00,0.000,0.00,S,1.00,1.00,1,9101,0.00,2026,05,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000176648605,000176648606,,,,00,00,00,020,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20260219,195608,2026-02-19 19:57:01.784,2026-02-19 20:07:19.818
500,MAT-000093,PLNT-09,,,0.000,0.00,V,0.01,0.00,1,8020,0.00,0.000,0.00,V,0.01,0.00,1,8020,0.00,0.000,0.00,V,0.01,0.00,1,8020,0.00,2026,01,Q,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,BG,000176154029,000176154030,,,,00,00,00,020,,000,000,000,0000,0000,0000,,0.00,X,2,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20251030,021408,2025-10-30 02:16:03.773,2025-10-30 02:37:32.009
500,MAT-004483,PLNT-32,,,0.000,0.00,S,1.00,1.00,1,9100,0.00,0.000,0.00,S,1.00,1.00,1,9100,0.00,0.000,0.00,S,1.00,1.00,1,9100,0.00,2025,01,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000174166401,000174166402,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,0,,,0,,,,0.00,20241028,135241,2024-10-28 13:55:25.465,2024-10-28 14:14:13.483
500,MAT-001089,PLNT-47,,,0.000,0.00,V,0.01,0.00,1,9101,0.00,0.000,0.00,V,0.01,0.00,1,9101,0.00,0.000,0.00,V,0.01,0.00,1,9101,0.00,2025,09,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000175096849,000175096850,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20250625,003248,2025-06-25 00:33:25.036,2025-06-25 00:37:42.408
500,MAT-000420,PLNT-12,REPAIR 100,,0.000,0.00,V,0.00,0.00,1,8000,0.00,0.000,0.00,V,0.00,0.00,1,8000,0.00,0.000,0.00,V,0.00,0.00,1,8000,0.00,2026,01,Q,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000176148639,000176148640,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,X,2,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20251029,045637,2025-10-29 04:56:44.874,2025-10-29 05:07:28.923
500,MAT-001024,PLNT-28,,,0.000,0.00,S,1170.50,1170.50,1,9100,0.00,0.000,0.00,S,1170.50,1170.50,1,9100,0.00,0.000,0.00,S,1170.50,1170.50,1,9100,0.00,2026,04,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000176457948,000176457949,,,,00,00,00,020,,000,000,000,0000,0000,0000,X,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20260107,132842,2026-01-07 13:32:27.959,2026-01-07 13:38:15.811
